issue #,html_url,"Annotator B
Stage A","Annotator B
Stage B"
34718,https://github.com/mastodon/mastodon/issues/34718,Bug,Other Bug
34829,https://github.com/mastodon/mastodon/issues/34829,Bug,Other Bug
34832,https://github.com/mastodon/mastodon/issues/34832,Bug,Other Bug
34960,https://github.com/mastodon/mastodon/issues/34960,Not a Bug,Not a Bug
34971,https://github.com/mastodon/mastodon/issues/34971,Bug,Other Bug
35132,https://github.com/mastodon/mastodon/issues/35132,Bug,Other Bug
35135,https://github.com/mastodon/mastodon/issues/35135,Bug,Other Bug
35171,https://github.com/mastodon/mastodon/issues/35171,Bug,Other Bug
35207,https://github.com/mastodon/mastodon/issues/35207,Not a Bug,Not a Bug
35275,https://github.com/mastodon/mastodon/issues/35275,Bug,Unknown
35280,https://github.com/mastodon/mastodon/issues/35280,Bug,Other Bug
35311,https://github.com/mastodon/mastodon/issues/35311,Bug,Other Bug
35431,https://github.com/mastodon/mastodon/issues/35431,Bug,Other Bug
35961,https://github.com/mastodon/mastodon/issues/35961,Bug,Other Bug
